lng,lat
-6.939062,62.277974
-6.938891,62.277275
-6.938977,62.277036
-6.938419,62.275518
-6.938462,62.275239
-6.938333,62.274999
-6.938376,62.273961
-6.938805,62.273362
-6.938805,62.273003
-6.939535,62.271924
-6.939921,62.271345
-6.940479,62.270686
-6.941252,62.269888
-6.941681,62.269688
-6.94181,62.269049
-6.942582,62.26831
-6.942969,62.26805
-6.943612,62.267312
-6.944814,62.266581
-6.945287,62.266461
-6.945673,62.266221
-6.94593,62.265762
-6.946875,62.265183
-6.946875,62.264763
-6.947132,62.264444
-6.947733,62.263984
-6.948892,62.263565
-6.949193,62.263046
-6.949965,62.263605
-6.944471,62.276736
-6.939062,62.277974
