lng,lat
-7.164969,62.149383
-7.160422,62.149475
-7.16053,62.149335
-7.160315,62.149014
-7.1603579999999996,62.148573
-7.160422,62.148373
-7.160637,62.148152
-7.160487,62.148012
-7.160809,62.147631
-7.161045,62.147631
-7.161431,62.147571
-7.162032,62.14721
-7.162075,62.146969
-7.161818,62.146438
-7.161882,62.146097
-7.161023,62.145445
-7.16068,62.144605
-7.160744,62.144144
-7.162289,62.142449
-7.162289,62.142038
-7.16244,62.141828
-7.162461,62.141567
-7.163039,62.14049
-7.163211,62.139427
-7.163361,62.139006
-7.164113,62.138525
-7.164735,62.138094
-7.169714,62.136489
-7.170487,62.136128
-7.171753,62.139638
-7.164969,62.149383
