lng,lat
-6.763358,62.223331
-6.759324,62.220211
-6.760869,62.219451
-6.762328,62.219211
-6.764303,62.218251
-6.765676,62.217931
-6.768166,62.217611
-6.769282,62.217451
-6.77057,62.21741
-6.772115,62.21741
-6.773145,62.217771
-6.77512,62.217811
-6.778639,62.218051
-6.782159,62.218091
-6.784563,62.218331
-6.787138,62.218731
-6.794178,62.219011
-6.795552,62.219771
-6.797955,62.220811
-6.800617,62.221851
-6.802248,62.222371
-6.803192,62.223211
-6.80551,62.225291
-6.808257,62.225891
-6.81109,62.226891
-6.81212,62.227971
-6.813408,62.22849
-6.813837,62.22953
-6.80654,62.23089
-6.793749,62.223691
-6.790057,62.224651
-6.775206,62.222211
-6.763358,62.223331
