lng,lat
-6.595781,62.260908
-6.595996,62.260709
-6.595352,62.260269
-6.595438,62.25981
-6.595052,62.25955
-6.595138,62.25915
-6.59488,62.258831
-6.595138,62.258611
-6.594966,62.258252
-6.595181,62.258052
-6.595181,62.257413
-6.595824,62.256294
-6.595824,62.255894
-6.597541,62.253277
-6.598958,62.252178
-6.601018,62.251199
-6.602735,62.250779
-6.606255,62.25018
-6.608401,62.24998
-6.61205,62.24998
-6.616686,62.25028
-6.61836,62.250839
-6.619948,62.250979
-6.620463,62.251119
-6.625399,62.251579
-6.62394,62.24839
-6.610891,62.24789
-6.598915,62.249009
-6.593163,62.251547
-6.59136,62.254124
-6.594451,62.260689
-6.595781,62.260908
